ID,SPKID,FULL NAME,NAME,NEO,PHA,MAG,DIAMETER
a0000281,2000281,281 Lucretia,Lucretia,N,N,12,11.036
a0000282,2000282,282 Clorinde,Clorinde,N,N,11,39.03
a0000283,2000283,283 Emma,Emma,N,N,8.6,132.385
a0000284,2000284,284 Amalia,Amalia,N,N,10.1,52.95
a0000285,2000285,285 Regina,Regina,N,N,10.7,47.156
a0000286,2000286,286 Iclea,Iclea,N,N,9,94.3
a0000287,2000287,287 Nephthys,Nephthys,N,N,8.2,59.615
a0000288,2000288,288 Glauke,Glauke,N,N,9.8,28.981
a0000289,2000289,289 Nenetta,Nenetta,N,N,9.5,37.586
a0000290,2000290,290 Bruna,Bruna,N,N,12,9.822
a0000291,2000291,291 Alice,Alice,N,N,11.5,10.456
a0000292,2000292,292 Ludovica,Ludovica,N,N,9.9,30.864
a0000293,2000293,293 Brasilia,Brasilia,N,N,10.2,57.486
a0000294,2000294,294 Felicia,Felicia,N,N,10.1,51.865
a0000295,2000295,295 Theresia,Theresia,N,N,10,28.34
a0000296,2000296,296 Phaetusa,Phaetusa,N,N,12.6,8.196
a0000297,2000297,297 Caecilia,Caecilia,N,N,9.1,39.48
a0000298,2000298,298 Baptistina,Baptistina,N,N,11.2,21.135
a0000299,2000299,299 Thora,Thora,N,N,11.3,15.757
a0000300,2000300,300 Geraldina,Geraldina,N,N,9.8,67.373
a0000301,2000301,301 Bavaria,Bavaria,N,N,10.3,53.042
a0000302,2000302,302 Clarissa,Clarissa,N,N,11.1,38.53
a0000303,2000303,303 Josephina,Josephina,N,N,8.9,124.923
a0000304,2000304,304 Olga,Olga,N,N,9.9,65.99
a0000305,2000305,305 Gordonia,Gordonia,N,N,8.8,47.739
a0000306,2000306,306 Unitas,Unitas,N,N,8.8,47.2
a0000307,2000307,307 Nike,Nike,N,N,10.1,61.313
a0000308,2000308,308 Polyxo,Polyxo,N,N,8.1,128.578
a0000309,2000309,309 Fraternitas,Fraternitas,N,N,10.6,41.075
a0000310,2000310,310 Margarita,Margarita,N,N,10.1,33.708
a0000311,2000311,311 Claudia,Claudia,N,N,10,26.3
a0000312,2000312,312 Pierretta,Pierretta,N,N,8.8,46.191
a0000313,2000313,313 Chaldaea,Chaldaea,N,N,9,71.183
a0000314,2000314,314 Rosalia,Rosalia,N,N,9.9,60.689
a0000315,2000315,315 Constantia,Constantia,N,N,12.5,6.534
a0000316,2000316,316 Goberta,Goberta,N,N,10.1,56.067
a0000317,2000317,317 Roxane,Roxane,N,N,9.8,18.648
a0000318,2000318,318 Magdalena,Magdalena,N,N,9.4,85
a0000319,2000319,319 Leona,Leona,N,N,10.2,49.943
a0000320,2000320,320 Katharina,Katharina,N,N,10.8,23.362
a0000321,2000321,321 Florentina,Florentina,N,N,10.1,27.974
a0000322,2000322,322 Phaeo,Phaeo,N,N,9.1,69.855
a0000323,2000323,323 Brucia,Brucia,N,N,9.5,27.714
a0000324,2000324,324 Bamberga,Bamberga,N,N,7,220.691
a0000325,2000325,325 Heidelberga,Heidelberga,N,N,8.7,75.72
a0000326,2000326,326 Tamara,Tamara,N,N,9.4,93
a0000327,2000327,327 Columbia,Columbia,N,N,10,30.291
a0000328,2000328,328 Gudrun,Gudrun,N,N,8.8,145.68
a0000329,2000329,329 Svea,Svea,N,N,9.6,81.057
a0000330,2000330,330 Adalberta (A910 CB),Adalberta,N,N,12.4,9.111
a0000331,2000331,331 Etheridgea,Etheridgea,N,N,9.7,74.92
a0000332,2000332,332 Siri,Siri,N,N,9.7,40.37
a0000333,2000333,333 Badenia (1892 A),Badenia,N,N,9.4,72.199
a0000334,2000334,334 Chicago (1892 L),Chicago,N,N,7.7,198.77
a0000335,2000335,335 Roberta (1892 C),Roberta,N,N,9.1,97.109
a0000336,2000336,336 Lacadiera (1892 D),Lacadiera,N,N,9.8,63.356
a0000337,2000337,337 Devosa (1892 E),Devosa,N,N,8.8,64.549
a0000338,2000338,338 Budrosa (1892 F),Budrosa,N,N,8.5,50.506
a0000339,2000339,339 Dorothea (1892 G),Dorothea,N,N,9.4,44.329
a0000340,2000340,340 Eduarda (1892 H),Eduarda,N,N,9.9,28.025
a0000341,2000341,341 California (1892 J),California,N,N,11.3,15.83
a0000342,2000342,342 Endymion (1892 K),Endymion,N,N,10.3,64.266
a0000343,2000343,343 Ostara (1892 N),Ostara,N,N,11.7,18.213
a0000344,2000344,344 Desiderata (1892 M),Desiderata,N,N,8.3,124.181
a0000345,2000345,345 Tercidina (1892 O),Tercidina,N,N,8.9,90.243
a0000346,2000346,346 Hermentaria (1892 P),Hermentaria,N,N,7.3,86.447
a0000347,2000347,347 Pariana (1892 Q),Pariana,N,N,9,48.615
a0000348,2000348,348 May (1892 R),May,N,N,9.4,82.82
a0000349,2000349,349 Dembowska (1892 T),Dembowska,N,N,5.9,139.77
a0000350,2000350,350 Ornamenta (1892 U),Ornamenta,N,N,8.5,128.729
a0000351,2000351,351 Yrsa (1892 V),Yrsa,N,N,9,39.72
a0000352,2000352,352 Gisela (1893 B),Gisela,N,N,10.1,26.744
a0000353,2000353,353 Ruperto-Carola (1893 F),Ruperto-Carola,N,N,10.9,14.025
a0000354,2000354,354 Eleonora (1893 A),Eleonora,N,N,6.44,148.97
a0000355,2000355,355 Gabriella (1893 E),Gabriella,N,N,10.2,24.04
a0000356,2000356,356 Liguria (1893 G),Liguria,N,N,8.3,145.503
a0000357,2000357,357 Ninina (1893 J),Ninina,N,N,8.8,124.107
a0000358,2000358,358 Apollonia (1893 K),Apollonia,N,N,9.2,90.116
a0000359,2000359,359 Georgia (1893 M),Georgia,N,N,9.3,43.89
a0000360,2000360,360 Carlova (1893 N),Carlova,N,N,8.5,129.125
a0000361,2000361,361 Bononia (1893 P),Bononia,N,N,8.4,154.334
a0000362,2000362,362 Havnia (1893 R),Havnia,N,N,9.1,98
a0000363,2000363,363 Padua (1893 S),Padua,N,N,9.1,97
a0000364,2000364,364 Isara (1893 T),Isara,N,N,9.9,25.901
a0000365,2000365,365 Corduba (1893 V),Corduba,N,N,9.3,86.773
a0000366,2000366,366 Vincentina (1893 W),Vincentina,N,N,8.7,86.368
a0000367,2000367,367 Amicitia (1893 AA),Amicitia,N,N,10.7,21.243
a0000368,2000368,368 Haidea (1893 AB),Haidea,N,N,9.9,69.277
a0000369,2000369,369 Aeria (1893 AE),Aeria,N,N,8.6,73.767
a0000370,2000370,370 Modestia (1893 AC),Modestia,N,N,10.7,38.093
a0000371,2000371,371 Bohemia (1893 AD),Bohemia,N,N,8.7,52.976
a0000372,2000372,372 Palma (1893 AH),Palma,N,N,7.5,173.642
a0000373,2000373,373 Melusina (1893 AJ),Melusina,N,N,9.1,98.695
a0000374,2000374,374 Burgundia (1893 AK),Burgundia,N,N,8.8,44.67
a0000375,2000375,375 Ursula (1893 AL),Ursula,N,N,7.4,216
a0000376,2000376,376 Geometria (1893 AM),Geometria,N,N,9.5,35.465
a0000377,2000377,377 Campania (1893 AN),Campania,N,N,9,90.346
a0000378,2000378,378 Holmia (1893 AP),Holmia,N,N,9.8,27.831
a0000379,2000379,379 Huenna (1894 AQ),Huenna,N,N,8.9,84.787
a0000380,2000380,380 Fiducia (1894 AR),Fiducia,N,N,9.5,67.508
a0000381,2000381,381 Myrrha (1894 AS),Myrrha,N,N,8.4,127.639
a0000382,2000382,382 Dodona (1894 AT),Dodona,N,N,8.8,65.209
a0000383,2000383,383 Janina (1894 AU),Janina,N,N,9.9,43.482
a0000384,2000384,384 Burdigala (1894 AV),Burdigala,N,N,9.5,34.435
a0000385,2000385,385 Ilmatar (1894 AX),Ilmatar,N,N,7.6,85.837
a0000386,2000386,386 Siegena (1894 AY),Siegena,N,N,7.7,165.01
a0000387,2000387,387 Aquitania (1894 AZ),Aquitania,N,N,7.6,100.51
a0000388,2000388,388 Charybdis (1894 BA),Charybdis,N,N,8.6,125.754
a0000389,2000389,389 Industria (1894 BB),Industria,N,N,7.8,74.378
a0000390,2000390,390 Alma (1894 BC),Alma,N,N,10.1,25.688
a0000391,2000391,391 Ingeborg (1894 BE),Ingeborg,N,N,10.8,15.751
a0000392,2000392,392 Wilhelmina (1894 BF),Wilhelmina,N,N,9.8,60.75
a0000393,2000393,393 Lampetia (1894 BG),Lampetia,N,N,8.4,116.191
a0000394,2000394,394 Arduina (1894 BH),Arduina,N,N,9.7,29.97
a0000395,2000395,395 Delia (1894 BK),Delia,N,N,10.4,44.189
a0000396,2000396,396 Aeolia (1894 BL),Aeolia,N,N,10.1,39.242
a0000397,2000397,397 Vienna (1894 BM),Vienna,N,N,9.4,49.032
a0000398,2000398,398 Admete (1894 BN),Admete,N,N,10.4,49.771
a0000399,2000399,399 Persephone (1895 BP),Persephone,N,N,9,39.566
a0000400,2000400,400 Ducrosa (1895 BU),Ducrosa,N,N,10.5,36.001
a0000401,2000401,401 Ottilia (1895 BT),Ottilia,N,N,9.2,87.803
a0000402,2000402,402 Chloe (1895 BW),Chloe,N,N,9,55.421
a0000403,2000403,403 Cyane (1895 BX),Cyane,N,N,8.9,53.574
a0000404,2000404,404 Arsinoe (1895 BY),Arsinoe,N,N,9.2,94.97
a0000405,2000405,405 Thia (1895 BZ),Thia,N,N,8.6,108.894
a0000406,2000406,406 Erna (1895 CB),Erna,N,N,10.3,46.266
a0000407,2000407,407 Arachne (1895 CC),Arachne,N,N,9.1,95.07
a0000408,2000408,408 Fama (1895 CD),Fama,N,N,9.3,35.62
a0000409,2000409,409 Aspasia (1895 CE),Aspasia,N,N,7.6,171.012
a0000410,2000410,410 Chloris (1896 CH),Chloris,N,N,8.3,118.929
a0000411,2000411,411 Xanthe (1896 CJ),Xanthe,N,N,9.3,76.53
a0000412,2000412,412 Elisabetha (1896 CK),Elisabetha,N,N,9.2,96.056
a0000413,2000413,413 Edburga (1896 CL),Edburga,N,N,9.9,34.242
a0000414,2000414,414 Liriope (1896 CN),Liriope,N,N,9.6,88.76
a0000415,2000415,415 Palatia (1896 CO),Palatia,N,N,9.4,83.56
a0000416,2000416,416 Vaticana (1896 CS),Vaticana,N,N,7.7,85.47
a0000417,2000417,417 Suevia (1896 CT),Suevia,N,N,9.5,54.874
a0000418,2000418,418 Alemannia (1896 CV),Alemannia,N,N,9.8,40.33
a0000419,2000419,419 Aurelia (1896 CW),Aurelia,N,N,8.6,148.701
a0000420,2000420,420 Bertholda (1896 CY),Bertholda,N,N,8.4,138.699
a0000421,2000421,421 Zahringia (1896 CZ),Zahringia,N,N,11.6,14.119
a0000422,2000422,422 Berolina (1896 DA),Berolina,N,N,10.6,10.714
a0000423,2000423,423 Diotima (1896 DB),Diotima,N,N,7.3,175.859
a0000424,2000424,424 Gratia (1896 DF),Gratia,N,N,9.5,102.565
a0000425,2000425,425 Cornelia (1896 DC),Cornelia,N,N,9.8,67.925
a0000426,2000426,426 Hippo (1897 DH),Hippo,N,N,8.6,137.562
a0000427,2000427,427 Galene (1897 DJ),Galene,N,N,10.1,32.193
a0000428,2000428,428 Monachia (1897 DK),Monachia,N,N,11.9,20.184
a0000429,2000429,429 Lotis (1897 DL),Lotis,N,N,10,69.62
a0000430,2000430,430 Hybris (1897 DM),Hybris,N,N,11.1,31.702
a0000431,2000431,431 Nephele (1897 DN),Nephele,N,N,8.9,101.9
a0000432,2000432,432 Pythia (1897 DO),Pythia,N,N,8.9,46.9
a0000433,2000433,433 Eros (1898 DQ),Eros,Y,N,10.4,16.84
a0000434,2000434,434 Hungaria (1898 DR),Hungaria,N,N,11.2,8.934
a0000435,2000435,435 Ella (1898 DS),Ella,N,N,10.4,34.792
a0000436,2000436,436 Patricia (1898 DT),Patricia,N,N,10,58.609
a0000437,2000437,437 Rhodia (1898 DP),Rhodia,N,N,10.4,13.373
a0000438,2000438,438 Zeuxo (1898 DU),Zeuxo,N,N,10,58.871
a0000439,2000439,439 Ohio (1898 EB),Ohio,N,N,9.8,70.421
a0000440,2000440,440 Theodora (1898 EC),Theodora,N,N,11.5,13.6
a0000441,2000441,441 Bathilde (1898 ED),Bathilde,N,N,8.5,65.131
a0000442,2000442,442 Eichsfeldia (1899 EE),Eichsfeldia,N,N,10,62.171
a0000443,2000443,443 Photographica (1899 EF),Photographica,N,N,10.1,25.504
a0000444,2000444,444 Gyptis (1899 EL),Gyptis,N,N,8.1,159.331
a0000445,2000445,445 Edna (1899 EX),Edna,N,N,9.2,87.812
a0000446,2000446,446 Aeternitas (1899 ER),Aeternitas,N,N,8.7,53.562
a0000447,2000447,447 Valentine (1899 ES),Valentine,N,N,9.1,85.224
a0000448,2000448,448 Natalie (1899 ET),Natalie,N,N,10.2,50.534
a0000449,2000449,449 Hamburga (1899 EU),Hamburga,N,N,9.9,85.59
a0000450,2000450,450 Brigitta (1899 EV),Brigitta,N,N,10.2,37.038
a0000451,2000451,451 Patientia (1899 EY),Patientia,N,N,6.7,253.9
a0000452,2000452,452 Hamiltonia (1899 FD),Hamiltonia,N,N,11.8,11.563
a0000453,2000453,453 Tea (1900 FA),Tea,N,N,10.5,23.985
a0000454,2000454,454 Mathesis (1900 FC),Mathesis,N,N,9.3,81.743
a0000455,2000455,455 Bruchsalia (1900 FG),Bruchsalia,N,N,8.9,88.792
a0000456,2000456,456 Abnoba (1900 FH),Abnoba,N,N,9.2,37.713
a0000457,2000457,457 Alleghenia (1900 FJ),Alleghenia,N,N,11.1,18.739
a0000458,2000458,458 Hercynia (1900 FK),Hercynia,N,N,9.6,36.698
a0000459,2000459,459 Signe (1900 FM),Signe,N,N,10.3,25.784
