1,7,100
2,6,51
3,7,27
4,5,14
5,7,10
6,6,5
7,7,5
8,4,3
9,7,5
10,6,3
11,7,4
12,5,2
13,7,8
14,6,4
15,7,4
16,3,2
17,7,4
18,6,2
19,7,3
20,5,2
21,7,6
22,6,3
23,7,4
24,4,2
25,7,4
26,6,2
27,7,3
28,5,2
29,7,6
30,6,3
31,7,4
32,2,2
33,7,4
34,6,2
35,7,3
36,5,2
37,7,5
38,6,3
39,7,4
40,4,2
41,7,4
42,6,2
43,7,3
44,5,2
45,7,7
46,6,4
47,7,4
48,3,2
49,7,4
50,6,2
51,7,3
52,5,2
53,7,6
54,6,3
55,7,4
56,4,2
57,7,4
58,6,2
59,7,3
60,5,2
61,7,6
62,6,3
63,7,4
64,1,2
65,6,4
66,5,2
67,6,3
68,4,2
69,6,5
70,5,3
71,6,4
72,3,2
73,6,4
74,5,2
75,6,3
76,4,2
77,6,6
78,5,3
79,6,4
80,2,2
81,6,4
82,5,2
83,6,3
84,4,2
85,6,5
86,5,3
87,6,4
88,3,2
89,7,4
90,6,2
91,7,3
92,5,2
93,7,5
94,6,3
95,7,4
96,4,2
97,6,4
98,5,2
99,6,3
100,7,2
