ID,Name,BST_Depth,AVL_Depth,Splay_Depth
2000001,1,9,342
2000002,2,8,172
2000003,3,9,86
2000004,4,7,46
2000005,5,9,23
2000006,6,8,14
2000007,7,9,7
2000008,8,6,7
2000009,9,9,4
2000010,10,8,4
2000011,11,9,2
2000012,12,7,8
2000013,13,9,4
2000014,14,8,4
2000015,15,9,2
2000016,16,5,4
2000017,17,9,2
2000018,18,8,3
2000019,19,9,2
2000020,20,7,6
2000021,21,9,3
2000022,22,8,4
2000023,23,9,2
2000024,24,6,4
2000025,25,9,2
2000026,26,8,3
2000027,27,9,2
2000028,28,7,6
2000029,29,9,3
2000030,30,8,4
2000031,31,9,2
2000032,32,4,4
2000033,33,9,2
2000034,34,8,3
2000035,35,9,2
2000036,36,7,5
2000037,37,9,3
2000038,38,8,4
2000039,39,9,2
2000040,40,6,4
2000041,41,9,2
2000042,42,8,3
2000043,43,9,2
2000044,44,7,7
2000045,45,9,4
2000046,46,8,4
2000047,47,9,2
2000048,48,5,4
2000049,49,9,2
2000050,50,8,3
2000051,51,9,2
2000052,52,7,6
2000053,53,9,3
2000054,54,8,4
2000055,55,9,2
2000056,56,6,4
2000057,57,9,2
2000058,58,8,3
2000059,59,9,2
2000060,60,7,6
2000061,61,9,3
2000062,62,8,4
2000063,63,9,2
2000064,64,3,4
2000065,65,9,2
2000066,66,8,3
2000067,67,9,2
2000068,68,7,5
2000069,69,9,3
2000070,70,8,4
2000071,71,9,2
2000072,72,6,4
2000073,73,9,2
2000074,74,8,3
2000075,75,9,2
2000076,76,7,11
2000077,77,9,6
2000078,78,8,5
2000079,79,9,3
2000080,80,5,5
2000081,81,9,3
2000082,82,8,4
2000083,83,9,2
2000084,84,7,7
2000085,85,9,4
2000086,86,8,4
2000087,87,9,2
2000088,88,6,4
2000089,89,9,2
2000090,90,8,3
2000091,91,9,2
2000092,92,7,7
2000093,93,9,4
2000094,94,8,4
2000095,95,9,2
2000096,96,4,4
2000097,97,9,2
2000098,98,8,3
2000099,99,9,2
2000100,100,7,6
2000101,101,9,3
2000102,102,8,4
2000103,103,9,2
2000104,104,6,4
2000105,105,9,2
2000106,106,8,3
2000107,107,9,2
2000108,108,7,8
2000109,109,9,4
2000110,110,8,4
2000111,111,9,2
2000112,112,5,4
2000113,113,9,2
2000114,114,8,3
2000115,115,9,2
2000116,116,7,6
2000117,117,9,3
2000118,118,8,4
2000119,119,9,2
2000120,120,6,4
2000121,121,9,2
2000122,122,8,3
2000123,123,9,2
2000124,124,7,6
2000125,125,9,3
2000126,126,8,4
2000127,127,9,2
2000128,128,2,4
2000129,129,9,2
2000130,130,8,3
2000131,131,9,2
2000132,132,7,5
2000133,133,9,3
2000134,134,8,4
2000135,135,9,2
2000136,136,6,4
2000137,137,9,2
2000138,138,8,3
2000139,139,9,2
2000140,140,7,8
2000141,141,9,4
2000142,142,8,4
2000143,143,9,2
2000144,144,5,4
2000145,145,9,2
2000146,146,8,3
2000147,147,9,2
2000148,148,7,6
2000149,149,9,3
2000150,150,8,4
2000151,151,9,2
2000152,152,6,4
2000153,153,9,2
2000154,154,8,3
2000155,155,9,2
2000156,156,7,6
2000157,157,9,3
2000158,158,8,4
2000159,159,9,2
2000160,160,4,4
2000161,161,9,2
2000162,162,8,3
2000163,163,9,2
2000164,164,7,5
2000165,165,9,3
2000166,166,8,4
2000167,167,9,2
2000168,168,6,4
2000169,169,9,2
2000170,170,8,3
2000171,171,9,2
2000172,172,7,7
2000173,173,9,4
2000174,174,8,4
2000175,175,9,2
2000176,176,5,4
2000177,177,9,2
2000178,178,8,3
2000179,179,9,2
2000180,180,7,6
2000181,181,9,3
2000182,182,8,4
2000183,183,9,2
2000184,184,6,4
2000185,185,9,2
2000186,186,8,3
2000187,187,9,2
2000188,188,7,6
2000189,189,9,3
2000190,190,8,4
2000191,191,9,2
2000192,192,3,4
2000193,193,9,2
2000194,194,8,3
2000195,195,9,2
2000196,196,7,5
2000197,197,9,3
2000198,198,8,4
2000199,199,9,2
2000200,200,6,4
2000201,201,9,2
2000202,202,8,3
2000203,203,9,2
2000204,204,7,10
2000205,205,9,5
2000206,206,8,5
2000207,207,9,3
2000208,208,5,5
2000209,209,9,3
2000210,210,8,4
2000211,211,9,2
2000212,212,7,7
2000213,213,9,4
2000214,214,8,4
2000215,215,9,2
2000216,216,6,4
2000217,217,9,2
2000218,218,8,3
2000219,219,9,2
2000220,220,7,7
2000221,221,9,4
2000222,222,8,4
2000223,223,9,2
2000224,224,4,4
2000225,225,9,2
2000226,226,8,3
2000227,227,9,2
2000228,228,7,6
2000229,229,9,3
2000230,230,8,4
2000231,231,9,2
2000232,232,6,4
2000233,233,9,2
2000234,234,8,3
2000235,235,9,2
2000236,236,7,8
2000237,237,9,4
2000238,238,8,4
2000239,239,9,2
2000240,240,5,4
2000241,241,9,2
2000242,242,8,3
2000243,243,9,2
2000244,244,7,6
2000245,245,9,3
2000246,246,8,4
2000247,247,9,2
2000248,248,6,4
2000249,249,9,2
2000250,250,8,3
2000251,251,9,2
2000252,252,7,6
2000253,253,9,3
2000254,254,8,4
2000255,255,9,2
2000256,256,1,4
2000257,257,10,2
2000258,258,9,3
2000259,259,10,2
2000260,260,8,5
2000261,261,10,3
2000262,262,9,4
2000263,263,10,2
2000264,264,7,4
2000265,265,10,2
2000266,266,9,3
2000267,267,10,2
2000268,268,8,8
2000269,269,10,4
2000270,270,9,4
2000271,271,10,2
2000272,272,6,4
2000273,273,10,2
2000274,274,9,3
2000275,275,10,2
2000276,276,8,6
2000277,277,10,3
