ID,BST_Depth,AVL_Depth,Splay_Depth
Row 288,289,10,2
Row 289,290,9,3
Row 290,291,10,2
Row 291,292,8,5
Row 292,293,10,3
Row 293,294,9,4
Row 294,295,10,2
Row 295,296,7,4
Row 296,297,10,2
Row 297,298,9,3
Row 298,299,10,2
Row 299,300,8,7
Row 300,301,10,4
Row 301,302,9,4
Row 302,303,10,2
Row 303,304,6,4
Row 304,305,10,2
Row 305,306,9,3
Row 306,307,10,2
Row 307,308,8,6
Row 308,309,10,3
Row 309,310,9,4
Row 310,311,10,2
Row 311,312,7,4
Row 312,313,10,2
Row 313,314,9,3
Row 314,315,10,2
Row 315,316,8,6
Row 316,317,10,3
Row 317,318,9,4
Row 318,319,10,2
Row 319,320,4,4
Row 320,321,10,2
Row 321,322,9,3
Row 322,323,10,2
Row 323,324,8,5
Row 324,325,10,3
Row 325,326,9,4
Row 326,327,10,2
Row 327,328,7,4
Row 328,329,10,2
Row 329,330,9,3
Row 330,331,10,2
Row 331,332,8,10
Row 332,333,10,5
Row 333,334,9,5
Row 334,335,10,3
Row 335,336,6,5
Row 336,337,10,3
Row 337,338,9,4
Row 338,339,10,2
Row 339,340,8,7
Row 340,341,10,4
Row 341,342,9,4
Row 342,343,10,2
Row 343,344,7,4
Row 344,345,10,2
Row 345,346,9,3
Row 346,347,10,2
Row 347,348,8,7
Row 348,349,10,4
Row 349,350,9,4
Row 350,351,10,2
Row 351,352,5,4
Row 352,353,10,2
Row 353,354,9,3
Row 354,355,10,2
Row 355,356,8,6
Row 356,357,10,3
Row 357,358,9,4
Row 358,359,10,2
Row 359,360,7,4
Row 360,361,10,2
Row 361,362,9,3
Row 362,363,10,2
Row 363,364,8,8
Row 364,365,10,4
Row 365,366,9,4
Row 366,367,10,2
Row 367,368,6,4
Row 368,369,10,2
Row 369,370,9,3
Row 370,371,10,2
Row 371,372,8,6
Row 372,373,10,3
Row 373,374,9,4
Row 374,375,10,2
Row 375,376,7,4
Row 376,377,10,2
Row 377,378,9,3
Row 378,379,10,2
Row 379,380,8,6
Row 380,381,10,3
Row 381,382,9,4
Row 382,383,10,2
Row 383,384,3,4
Row 384,385,10,2
Row 385,386,9,3
Row 386,387,10,2
Row 387,388,8,5
Row 388,389,10,3
Row 389,390,9,4
Row 390,391,10,2
Row 391,392,7,4
Row 392,393,10,2
Row 393,394,9,3
Row 394,395,10,2
Row 395,396,8,8
Row 396,397,10,4
Row 397,398,9,4
Row 398,399,10,2
Row 399,400,6,4
